source_id,target_id,score
1001,,
1002,VF-2620311311,0.99987406
1002,VF-8791002830,0.17261721
1002,VF-6226229774,0.06767612
1003,,
1004,VF-2049631126,0.0515175
1005,VF-4901448645,0.99615824
1005,VF-4901448617,0.9794642
1006,VF-2183762338,0.9997205
1007,VF-4835098131,0.99982524
1007,VF-9896391762,0.13069282
1008,VF-6438591877,0.99940443
1008,VF-4871798214,0.19337036
1008,VF-9790202480,0.042232927
1009,,
1010,VF-3431456087,0.99968684
1011,VF-8777205193,0.99981916
1011,VF-7759618950,0.9990176
1012,VF-3084665488,0.95424783
1012,VF-3148280475,0.79323494
1013,VF-9708740315,0.99985206
1013,VF-9509758619,0.4911785
1013,VF-0421954065,0.4911785
1013,VF-7588178559,0.4911785
1013,VF-0419814840,0.15078765
1014,VF-0138158240,0.3076263
1015,VF-6888442721,0.9999249
1015,VF-6888442788,0.2591805
1015,VF-6888442735,0.2591805
1016,,
1017,VF-4908671854,0.9708055
1018,VF-9010047459,0.9997898
1018,VF-9403979779,0.99731165
1019,VF-9424177915,0.9635783
1019,VF-9424177907,0.9635783
1020,VF-3979188843,0.9995837
1021,VF-9698649469,0.9854858
1021,VF-2459726899,0.9854858
1022,VF-9614532846,0.9922081
1022,VF-9614532802,0.017866263
1022,VF-9614532897,0.003334939
1023,VF-9506969711,0.24622817
1023,VF-4670851160,0.24622817
1023,VF-9942136237,0.24622817
1023,VF-9506969734,0.056680314
1024,,
1025,VF-8215106910,0.99960095
1026,VF-9921377747,0.19337036
1026,VF-5191056149,0.042232927
1027,VF-2406211471,0.9999293
1027,VF-9828346540,0.97380674
1027,VF-2406211497,0.27101898
1028,VF-2289157883,0.9997746
1028,VF-2289157893,0.10437422
1029,VF-6704077851,0.8908995
1029,VF-7126118056,0.8908995
1029,VF-0959882413,0.8908995
1029,VF-8187235917,0.8908995
1030,VF-9974425280,0.99957144
1030,VF-2332699743,0.24993531
1030,VF-9974425272,0.057752326
1031,VF-1357919742,0.99970436
1032,,
1033,,
1034,VF-5373079108,0.99937236
1034,VF-8150550482,0.040160198
1035,VF-9960701691,0.17164873
1036,VF-7719476014,0.99958616
1036,VF-2200628404,0.059683207
1037,VF-3780005706,0.9998194
1037,VF-9049138903,0.93568695
1037,VF-7955097628,0.4416411
1037,VF-3780005715,0.12701075
1038,VF-9996604464,0.99285036
1038,VF-5473616089,0.019452358
1038,VF-9996604444,0.003635777
1039,,
1040,,
1041,VF-5501349253,0.9998832
1042,VF-0807638943,0.059349604
1043,,
1044,,
1045,,
1046,VF-7551187077,0.9708055
1047,VF-7123394882,0.99984586
1047,VF-9426426924,0.14563675
1048,,
1049,,
1050,VF-9937174776,0.004727981
1051,VF-9960701615,0.18531525
1052,VF-8215106984,0.99755114
1053,VF-6888442706,0.9997762
1053,VF-2049631182,0.9845717
1054,VF-5283485834,0.9997458
1054,VF-8135798697,0.35969833
1054,VF-8864483392,0.35969833
1054,VF-7560503350,0.09365341
1055,VF-9929789292,0.9922081
1055,VF-9929789263,0.003334939
1055,VF-9673907438,0.003334939
1055,VF-6143769054,0.00092114
1056,,
1057,VF-5303231290,0.99946034
1057,VF-8443169819,0.9635783
1057,VF-9531216716,0.9635783
1057,VF-4898927769,0.8295359
1057,VF-9532261764,0.04640515
1058,,
1059,,
1060,VF-1323430661,0.18359739
1061,,
1062,VF-9426426977,0.99992794
1063,VF-2946627122,0.99977505
1063,VF-2946627187,0.10456988
1064,VF-9988091535,0.122605465
1064,VF-9988091579,0.122605465
1065,VF-7865602264,0.9708055
1066,VF-9988091527,0.99971676
1067,VF-1623525818,0.99987656
1068,VF-0462376477,0.08127987
1069,VF-8960744172,0.99945945
1069,VF-7184152569,0.2089465
1069,VF-8960744122,0.04633413
1069,VF-8960744192,0.04633413
1070,VF-8620605758,0.60316604
1070,VF-8620605715,0.21849257
1070,VF-3537321103,0.21849257
1071,,
1072,VF-9836195439,0.32732174
1072,VF-9614532841,0.082151234
1073,VF-8162401297,0.99973345
1073,VF-7463722077,0.08970514
1074,,
1075,,
1076,VF-1357919758,0.9999407
1076,VF-3117752955,0.30709213
1077,VF-9901256324,0.9675226
1077,VF-2289157899,0.8456715
1077,VF-9901256330,0.8456715
1078,VF-9947162508,0.9994945
1079,VF-5702638842,0.86389256
1079,VF-7922878510,0.25654218
1079,VF-9957558805,0.059683207
1080,,
1081,,
1082,,
1083,,
1084,VF-0462376488,0.9995982
1084,VF-9266248091,0.26222023
1085,,
1086,VF-6888442753,0.99285036
1086,VF-6888442778,0.9623257
1087,,
1088,VF-9972295518,0.054993294
1088,VF-6183733728,0.054993294
1089,VF-9367293956,0.99981916
1089,VF-9367293950,0.1268447
1090,VF-8584906117,0.14315912
1091,VF-8584906106,0.99951327
1091,VF-5373079106,0.051200427
1091,VF-8584906130,0.051200427
1092,VF-2452630729,0.99981916
1092,VF-2452630777,0.1268447
1093,,
1094,VF-0138158231,0.999768
1094,VF-0138158214,0.101736695
1095,VF-8170292357,0.007752473
1096,,
1097,VF-3891214484,0.9996786
1097,VF-3891214449,0.07556553
1098,VF-8238797393,0.9612236
1098,VF-8238797350,0.820133
1099,VF-5373079126,0.9995306
1099,VF-8213149588,0.2332553
1099,VF-5373079182,0.052991953
1100,,
1101,VF-5283485862,0.9998422
1102,VF-2933070001,0.98083305
1102,VF-9957558859,0.90396404
1103,VF-2635169562,0.9995487
1103,VF-2635169595,0.24033687
1103,VF-2635169599,0.054993294
1104,VF-6881288702,0.9995868
1105,VF-2635169510,0.99982524
1105,VF-7446639398,0.44974533
1106,,
1107,VF-6981486740,0.24130987
1107,VF-9911344793,0.05527053
1108,VF-2305605581,0.99966764
1108,VF-6411955826,0.07325215
1109,VF-0913980390,0.25654218
1110,VF-8909770110,0.0407454
1110,VF-8909770128,0.007752473
1111,VF-6642356129,0.9993194
1111,VF-3891507746,0.17338072
1112,VF-6438591887,0.9998483
1112,VF-6685931682,0.9894934
1112,VF-6438591875,0.48501006
1113,VF-8711166329,0.24075553
1113,VF-4139874551,0.05511252
1113,VF-9940503785,0.05511252
1113,VF-1983456094,0.05511252
1114,VF-2620311389,0.32205415
1114,VF-8213149553,0.32205415
1115,VF-9999914743,0.9995497
1115,VF-9999914761,0.05511252
1116,VF-0807638943,0.9992768
1116,VF-9996604478,0.16485149
1117,VF-7170137955,0.9996852
1117,VF-7170137986,0.07703063
1118,VF-1323430639,0.99951327
1118,VF-1323430644,0.051200427
1119,,
1120,VF-9506969778,0.48035732
1120,VF-9506969772,0.48035732
1120,VF-9506969739,0.1453238
1120,VF-2506852601,0.1453238
1121,,
1122,VF-2511237801,0.99968296
1122,VF-2511237846,0.07652194
1123,VF-9840877310,0.99940443
1123,VF-2106216054,0.19337036
1123,VF-9840877338,0.042232927
1124,VF-9426426997,0.31057718
1124,VF-7440156004,0.31057718
1125,VF-9957558882,0.2648115
1125,VF-9957558803,0.062137365
1126,,
1127,VF-5650976398,0.043582063
1128,VF-9996694415,0.9995487
1129,,
1130,,
1131,VF-7723819946,0.9718614
1131,VF-4249500904,0.9718614
1132,VF-6263760675,0.9998442
1132,VF-6263760630,0.14430577
1132,VF-3127448397,0.14430577
1132,VF-2985787663,0.14430577
1133,VF-9911344793,0.43171975
1133,VF-9820798014,0.43171975
1134,VF-9532261790,0.9980954
1134,VF-9532261723,0.28926587
1135,VF-9531202260,0.24033687
1136,VF-7723819918,0.9962901
1137,VF-2620311317,0.99950266
1137,VF-2620311326,0.05016151
1138,,
1139,VF-2452630739,0.103763424
1140,VF-9506969738,0.9995164
1141,,
1142,,
1143,VF-9772562930,0.99966204
1144,VF-9786553254,0.07144401
1144,VF-2045030759,0.07144401
1145,VF-3658911528,0.052991953
1146,,
1147,,
1148,,
1149,VF-4330799221,0.27850232
1149,VF-5500645204,0.06629476
1150,VF-6091423807,0.8594827
1150,VF-6080235754,0.009654081
1151,VF-1357919725,0.99615824
1151,VF-1357919748,0.9794642
1151,VF-1357919712,0.035719544
1151,VF-9901256327,0.035719544
1152,VF-9511750325,0.035036102
1153,VF-1897269874,0.9998863
1153,VF-9978208864,0.5566762
1153,VF-1897269804,0.18763307
1154,VF-0138158201,0.99977165
1154,VF-0138158220,0.10316739
1155,VF-0462376408,0.99974793
1155,VF-0462376416,0.09437952
1156,VF-8877067203,3.27E-05
1157,,
1158,,
1159,VF-4053865613,0.9998142
1159,VF-4053865675,0.12389282
1160,VF-6085720141,0.9993155
1160,VF-6085720167,0.172575
