,question_id,question_text,answer_text,answer_id,freq_weighted,percent_weighted
0,D100,Gender (BY OBSERVATION),Male,1,189.80960187099993,0.4745240046869904
1,D100,Gender (BY OBSERVATION),Female,2,210.190398121,0.5254759953130096
2,D101,In what year were you born?,Refused,9999,40.431675836,1.0
3,D102,What is the last grade of school or level of education you completed?,Did not complete high school,1,7.839879958,0.01959969989539199
4,D102,What is the last grade of school or level of education you completed?,Graduated high school,2,84.19043935399998,0.21047609838920944
5,D102,What is the last grade of school or level of education you completed?,Attended technical or vocational school,3,8.425416947,0.02106354236792127
6,D102,What is the last grade of school or level of education you completed?,Attended some college but no degree,4,67.456108944,0.16864027236337278
7,D102,What is the last grade of school or level of education you completed?,Graduated two-year college with Associate's degree,5,35.635362253,0.08908840563428175
8,D102,What is the last grade of school or level of education you completed?,Graduated four-year college with Bachelor's degree,6,95.97312537600006,0.23993281344479878
9,D102,What is the last grade of school or level of education you completed?,"Obtained Master's, PhD, or other professional degree (MD, DMD, etc.)",7,91.46958171799997,0.2286739542995734
10,D102,What is the last grade of school or level of education you completed?,(Refused),8,9.010085442,0.0225252136054505
11,D103,Are you or is anyone in your household an active or retired member of a labor union?,Yes-Respondent,1,65.269212302,0.16317303075826362
12,D103,Are you or is anyone in your household an active or retired member of a labor union?,Yes-Household,2,36.09656345599999,0.0902414086418049
13,D103,Are you or is anyone in your household an active or retired member of a labor union?,Yes-Both,3,22.842122712,0.05710530678114215
14,D103,Are you or is anyone in your household an active or retired member of a labor union?,No,4,267.16360317899967,0.667909007960858
15,D103,Are you or is anyone in your household an active or retired member of a labor union?,(Refused),5,8.628498343,0.021571245857931447
16,D104,"Are you or is anyone in your household a veteran, active military, or in the National Guard or Reserves?",Yes-Respondent,1,42.935723675000006,0.10733930918964682
17,D104,"Are you or is anyone in your household a veteran, active military, or in the National Guard or Reserves?",Yes-Household,2,44.952587184,0.11238146796224766
18,D104,"Are you or is anyone in your household a veteran, active military, or in the National Guard or Reserves?",Yes-Both,3,2.248998533,0.005622496332612451
19,D104,"Are you or is anyone in your household a veteran, active military, or in the National Guard or Reserves?",No,4,304.4536168819999,0.7611340422202226
