target_id,score,source_id
VF-2620311311,0.99987406,1002
VF-2183762338,0.9997205,1006
VF-4835098131,0.99982524,1007
VF-6438591877,0.99940443,1008
VF-3431456087,0.99968684,1010
VF-9708740315,0.99985206,1013
VF-6888442721,0.9999249,1015
VF-4908671854,0.9708055,1017
VF-3979188843,0.9995837,1020
VF-9614532846,0.9922081,1022
VF-8215106910,0.99960095,1025
VF-2289157883,0.9997746,1028
VF-9974425280,0.99957144,1030
VF-1357919742,0.99970436,1031
VF-5373079108,0.99937236,1034
VF-7719476014,0.99958616,1036
VF-5501349253,0.9998832,1041
VF-7551187077,0.9708055,1046
VF-7123394882,0.99984586,1047
VF-8215106984,0.99755114,1052
VF-5283485834,0.9997458,1054
VF-9929789292,0.9922081,1055
VF-9426426977,0.99992794,1062
VF-2946627122,0.99977505,1063
VF-7865602264,0.9708055,1065
VF-9988091527,0.99971676,1066
VF-1623525818,0.99987656,1067
VF-8960744172,0.99945945,1069
VF-8162401297,0.99973345,1073
VF-1357919758,0.9999407,1076
VF-9947162508,0.9994945,1078
VF-5702638842,0.86389256,1079
VF-0462376488,0.9995982,1084
VF-9367293956,0.99981916,1089
VF-8584906106,0.99951327,1091
VF-2452630729,0.99981916,1092
VF-0138158231,0.999768,1094
VF-3891214484,0.9996786,1097
VF-5373079126,0.9995306,1099
VF-5283485862,0.9998422,1101
VF-2635169562,0.9995487,1103
VF-6881288702,0.9995868,1104
VF-2635169510,0.99982524,1105
VF-2305605581,0.99966764,1108
VF-6642356129,0.9993194,1111
VF-9999914743,0.9995497,1115
VF-0807638943,0.9992768,1116
VF-7170137955,0.9996852,1117
VF-1323430639,0.99951327,1118
VF-2511237801,0.99968296,1122
VF-9840877310,0.99940443,1123
VF-9996694415,0.9995487,1128
VF-6263760675,0.9998442,1132
VF-9532261790,0.9980954,1134
VF-7723819918,0.9962901,1136
VF-2620311317,0.99950266,1137
VF-9506969738,0.9995164,1140
VF-9772562930,0.99966204,1143
VF-6091423807,0.8594827,1150
VF-1897269874,0.9998863,1153
VF-0138158201,0.99977165,1154
VF-0462376408,0.99974793,1155
VF-4053865613,0.9998142,1159
VF-6085720141,0.9993155,1160
VF-0138158257,0.99963015,1162
VF-7170137975,0.9995306,1163
VF-9310607866,0.9995868,1165
VF-8737325510,0.999797,1169
VF-8777205171,0.99769825,1171
VF-6341668843,0.99985623,1172
VF-4371515084,0.9993194,1174
VF-6085720101,0.99991375,1176
VF-9011577142,0.9996783,1183
VF-9996604464,0.99985397,1184
VF-9840877397,0.9997514,1185
VF-0975143289,0.9980954,1186
VF-9901256338,0.99980485,1187
VF-8941108430,0.99966764,1188
VF-7865602251,0.9993155,1189
VF-9996604420,0.99842924,1191
